id,ids,url,source,localPath,status,format,width,height,blackRatio,whiteRatio,grayRatio,hsvSaturationOverThresholdRatio,rgbSaturationOverThresholdRatio,rgbNonGrayRatio,decodedRgbSha256,issues,error
page-animal-crossing-32,page-animal-crossing-32,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Animal%20Crossing/Animal_Crossing__A_clean_printable_color_1788415803896.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-animal-crossing-33,page-animal-crossing-33,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Animal%20Crossing/Animal_Crossing__A_clean_printable_color_1788415818736.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-animal-crossing-34,page-animal-crossing-34,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Animal%20Crossing/Animal_Crossing__A_clean_printable_color_1788415827570.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-animal-crossing-35,page-animal-crossing-35,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Animal%20Crossing/Animal_Crossing__A_clean_printable_color_1788415836991.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-animal-crossing-36,page-animal-crossing-36,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Animal%20Crossing/Animal_Crossing__A_clean_printable_color_1788415845585.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-animal-crossing-37,page-animal-crossing-37,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Animal%20Crossing/Animal_Crossing__A_clean_printable_color_1788415857578.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-animal-crossing-38,page-animal-crossing-38,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Animal%20Crossing/Animal_Crossing__A_clean_printable_color_1788415866214.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-animal-crossing-39,page-animal-crossing-39,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Animal%20Crossing/Animal_Crossing__A_clean_printable_color_1788415874296.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-animal-crossing-40,page-animal-crossing-40,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Animal%20Crossing/Animal_Crossing__A_clean_printable_color_1788415882301.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-animal-crossing-41,page-animal-crossing-41,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Animal%20Crossing/Animal_Crossing__A_clean_printable_color_1788415890381.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
